symbol,entry_time,exit_time,qty,entry_price,exit_price,realized_pnl,holding_seconds
NIFTY22112418350CE,2022-11-24 13:23:44,2022-11-24 13:32:13,1.0,35.05,35.1,0.05000000000000426,509.0
NIFTY22112418400PE,2022-11-24 13:32:13,2022-11-24 13:32:14,1.0,32.5,32.95,0.45000000000000284,1.0
NIFTY22112418400CE,2022-11-24 13:32:13,2022-11-24 13:32:14,1.0,8.2,8.2,0.0,1.0
NIFTY22112418350CE,2022-11-24 13:32:14,2022-11-24 13:32:45,1.0,34.95,34.6,-0.3500000000000014,31.0
NIFTY22112418350PE,2022-11-24 13:32:14,2022-11-24 13:32:45,1.0,9.75,9.95,0.1999999999999993,31.0
NIFTY22112418400CE,2022-11-24 13:32:45,2022-11-24 13:32:46,1.0,8.0,8.05,0.05000000000000071,1.0
NIFTY22112418400PE,2022-11-24 13:32:45,2022-11-24 13:32:46,1.0,33.5,33.4,-0.10000000000000142,1.0
NIFTY22112418350PE,2022-11-24 13:32:46,2022-11-24 13:40:04,1.0,9.9,9.0,-0.9000000000000004,438.0
NIFTY22112418350CE,2022-11-24 13:32:46,2022-11-24 13:40:04,1.0,34.55,34.8,0.25,438.0
NIFTY22112418400PE,2022-11-24 13:40:04,2022-11-24 13:40:05,1.0,31.95,32.35,0.40000000000000213,1.0
NIFTY22112418400CE,2022-11-24 13:40:04,2022-11-24 13:40:05,1.0,8.05,8.2,0.14999999999999858,1.0
NIFTY22112418350CE,2022-11-24 13:40:05,2022-11-24 13:40:13,1.0,34.9,35.15,0.25,8.0
NIFTY22112418350PE,2022-11-24 13:40:05,2022-11-24 13:40:13,1.0,9.1,8.8,-0.29999999999999893,8.0
NIFTY22112418400PE,2022-11-24 13:40:13,2022-11-24 13:42:01,1.0,31.55,32.9,1.3499999999999979,108.0
NIFTY22112418400CE,2022-11-24 13:40:13,2022-11-24 13:42:01,1.0,8.25,7.65,-0.5999999999999996,108.0
NIFTY22112418350CE,2022-11-24 13:42:01,2022-11-24 13:43:11,1.0,33.65,34.85,1.2000000000000028,70.0
NIFTY22112418350PE,2022-11-24 13:42:01,2022-11-24 13:43:11,1.0,9.0,9.1,0.09999999999999964,70.0
NIFTY22112418400PE,2022-11-24 13:43:11,2022-11-24 13:43:14,1.0,32.5,32.3,-0.20000000000000284,3.0
NIFTY22112418400CE,2022-11-24 13:43:11,2022-11-24 13:43:14,1.0,8.1,8.0,-0.09999999999999964,3.0
NIFTY22112418350PE,2022-11-24 13:43:14,2022-11-24 13:43:15,1.0,8.95,8.95,0.0,1.0
NIFTY22112418350CE,2022-11-24 13:43:14,2022-11-24 13:43:15,1.0,34.7,34.7,0.0,1.0
NIFTY22112418400PE,2022-11-24 13:43:15,2022-11-24 13:43:41,1.0,31.9,32.2,0.30000000000000426,26.0
NIFTY22112418400CE,2022-11-24 13:43:15,2022-11-24 13:43:41,1.0,7.95,7.95,0.0,26.0
NIFTY22112418350PE,2022-11-24 13:43:41,2022-11-24 13:43:43,1.0,8.95,8.8,-0.14999999999999858,2.0
NIFTY22112418350CE,2022-11-24 13:43:41,2022-11-24 13:43:43,1.0,34.85,35.05,0.19999999999999574,2.0
NIFTY22112418400PE,2022-11-24 13:43:43,2022-11-24 13:43:44,1.0,32.0,31.8,-0.1999999999999993,1.0
NIFTY22112418400CE,2022-11-24 13:43:43,2022-11-24 13:43:44,1.0,8.05,8.1,0.049999999999998934,1.0
NIFTY22112418350PE,2022-11-24 13:43:44,2022-11-24 13:43:45,1.0,8.7,8.8,0.10000000000000142,1.0
NIFTY22112418350CE,2022-11-24 13:43:44,2022-11-24 13:43:45,1.0,35.1,35.25,0.14999999999999858,1.0
NIFTY22112418400PE,2022-11-24 13:43:45,2022-11-24 13:43:53,1.0,32.0,32.1,0.10000000000000142,8.0
NIFTY22112418400CE,2022-11-24 13:43:45,2022-11-24 13:43:53,1.0,8.15,8.0,-0.15000000000000036,8.0
